timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-06-07,102.6500,102.6900,100.3800,100.8800,100.8800,28232197,0.0000,1.0000
2018-06-06,102.4800,102.6000,101.9000,102.4900,102.4900,21122917,0.0000,1.0000
2018-06-05,102.0000,102.3300,101.5300,102.1900,102.1900,23514402,0.0000,1.0000
2018-06-04,101.2600,101.8600,100.8510,101.6700,101.6700,27281623,0.0000,1.0000
2018-06-01,99.2798,100.8600,99.1700,100.7900,100.7900,28655624,0.0000,1.0000
2018-05-31,99.2900,99.9900,98.6100,98.8400,98.8400,34140891,0.0000,1.0000
2018-05-30,98.3100,99.2500,97.9100,98.9500,98.9500,22158528,0.0000,1.0000
2018-05-29,97.8400,98.8800,97.2300,98.0100,98.0100,28670981,0.0000,1.0000
2018-05-25,98.3000,98.9800,97.8600,98.3600,98.3600,18363918,0.0000,1.0000
2018-05-24,98.7250,98.9400,96.8100,98.3100,98.3100,26649287,0.0000,1.0000
2018-05-23,96.7100,98.7300,96.3200,98.6600,98.6600,21251222,0.0000,1.0000
2018-05-22,97.6800,98.1700,97.2000,97.5000,97.5000,15441189,0.0000,1.0000
2018-05-21,97.0000,98.0100,96.8000,97.6000,97.6000,19422467,0.0000,1.0000
2018-05-18,96.0100,96.9300,96.0100,96.3600,96.3600,17865840,0.0000,1.0000
2018-05-17,96.7600,97.5401,95.8300,96.1800,96.1800,17246716,0.0000,1.0000
2018-05-16,97.3600,97.4000,96.6150,97.1500,97.1500,17384742,0.4200,1.0000
2018-05-15,97.2400,97.8500,96.3400,97.3200,96.9011,24594010,0.0000,1.0000
2018-05-14,97.9200,98.6900,97.3100,98.0300,97.6080,19454124,0.0000,1.0000
2018-05-11,97.8000,97.8700,97.0400,97.7000,97.2794,16778316,0.0000,1.0000
2018-05-10,97.4600,97.9500,97.0500,97.9100,97.4885,22388119,0.0000,1.0000
2018-05-09,96.0100,96.9700,95.0500,96.9400,96.5227,27327410,0.0000,1.0000
2018-05-08,95.8456,96.1600,95.0631,95.8100,95.3976,23484589,0.0000,1.0000
2018-05-07,95.1700,96.7100,95.1000,96.2200,95.8058,24242019,0.0000,1.0000
2018-05-04,93.3200,95.3700,92.9200,95.1600,94.7504,22531325,0.0000,1.0000
2018-05-03,92.9600,94.9250,92.4500,94.0700,93.6651,31142497,0.0000,1.0000
2018-05-02,94.9900,95.1700,93.1900,93.5100,93.1075,27471002,0.0000,1.0000
2018-05-01,93.2100,95.2900,92.7900,95.0000,94.5911,31408927,0.0000,1.0000
2018-04-30,96.3300,96.3964,93.1500,93.5200,93.1174,41523605,0.0000,1.0000
2018-04-27,97.6000,97.9000,93.9100,95.8200,95.4075,48272780,0.0000,1.0000
2018-04-26,93.5500,95.1500,93.1000,94.2600,93.8542,42529043,0.0000,1.0000
2018-04-25,93.3000,93.3000,90.2800,92.3100,91.9126,33729257,0.0000,1.0000
2018-04-24,96.2420,96.4700,92.4100,93.1200,92.7192,34524799,0.0000,1.0000
2018-04-23,95.7436,96.2900,94.6300,95.3500,94.9396,22331829,0.0000,1.0000
2018-04-20,95.9100,96.1100,94.0500,95.0000,94.5911,31154377,0.0000,1.0000
2018-04-19,96.4400,97.0700,95.3400,96.1100,95.6963,23552541,0.0000,1.0000
2018-04-18,96.2200,96.7200,95.5200,96.4400,96.0249,21043287,0.0000,1.0000
2018-04-17,95.0000,96.5400,94.8800,96.0700,95.6565,26771000,0.0000,1.0000
2018-04-16,94.0700,94.6600,93.4200,94.1700,93.7646,20288083,0.0000,1.0000
2018-04-13,94.0500,94.1800,92.4400,93.0800,92.6793,23346063,0.0000,1.0000
2018-04-12,92.4300,94.1600,92.4300,93.5800,93.1772,26758879,0.0000,1.0000
2018-04-11,92.0100,93.2900,91.4800,91.8600,91.4646,24872110,0.0000,1.0000
2018-04-10,92.3900,93.2800,91.6400,92.8800,92.4802,26939883,0.0000,1.0000
2018-04-09,91.0400,93.1700,90.6200,90.7700,90.3793,31533943,0.0000,1.0000
2018-04-06,91.4900,92.4600,89.4800,90.2300,89.8416,38026000,0.0000,1.0000
2018-04-05,92.4350,93.0650,91.4000,92.3800,91.9823,29771881,0.0000,1.0000
2018-04-04,87.8500,92.7600,87.7300,92.3300,91.9326,35559956,0.0000,1.0000
2018-04-03,89.5750,90.0500,87.8900,89.7100,89.3238,37213837,0.0000,1.0000
2018-04-02,90.4700,90.8800,87.5100,88.5200,88.1390,48515417,0.0000,1.0000
2018-03-29,90.1800,92.2900,88.4000,91.2700,90.8771,45867548,0.0000,1.0000
2018-03-28,89.8200,91.2300,88.8730,89.3900,89.0052,52501146,0.0000,1.0000
2018-03-27,94.9400,95.1390,88.5100,89.4700,89.0849,53704562,0.0000,1.0000
2018-03-26,90.6100,94.0000,90.4000,93.7800,93.3763,55031149,0.0000,1.0000
2018-03-23,89.5000,90.4600,87.0800,87.1800,86.8047,42159397,0.0000,1.0000
2018-03-22,91.2650,91.7500,89.6600,89.7900,89.4035,37578166,0.0000,1.0000
2018-03-21,92.9300,94.0500,92.2100,92.4800,92.0819,23753263,0.0000,1.0000
2018-03-20,93.0500,93.7700,93.0000,93.1300,92.7291,21787780,0.0000,1.0000
2018-03-19,93.7400,93.9000,92.1100,92.8900,92.4901,31752589,0.0000,1.0000
2018-03-16,94.6800,95.3800,93.9200,94.6000,94.1928,47329521,0.0000,1.0000
2018-03-15,93.5300,94.5800,92.8300,94.1800,93.7746,26279014,0.0000,1.0000
